company_name,company_address,postal_code,location,link,contact
EDEKA,Badstr. 37,8648,Bad Brambach,https://www.meinprospekt.de/bad-brambach/filialen/edeka/444297,037438 20239
EDEKA Schuldes,Elsterstr. 51,8626,Adorf,https://www.meinprospekt.de/adorf-vogtland/filialen/edeka/210547,
EDEKA Färber,Am Schulplatz 5,8248,Klingenthal,https://www.meinprospekt.de/klingenthal/filialen/edeka/210719,
EDEKA,Auerbacher Str. 31,8248,Klingenthal,https://www.meinprospekt.de/klingenthal/filialen/edeka/444315,037467 22594
EDEKA Gruhle,Grabenstr. 26,8606,Oelsnitz,https://www.meinprospekt.de/oelsnitz/filialen/edeka/210802,
EDEKA,Poststr. 1,7356,Bad Lobenstein,https://www.meinprospekt.de/bad-lobenstein/filialen/edeka/320264,036651 385775
EDEKA,Am Alten Huegel 1-2,7356,Bad Lobenstein,https://www.meinprospekt.de/bad-lobenstein/filialen/edeka/210571,
EDEKA,Breite Str. 2,7349,Lehesten (Thüringer Wald),https://www.meinprospekt.de/lehesten/filialen/edeka/435120,
EDEKA,Kirchplatz 5,7929,Saalburg-Ebersdorf,https://www.meinprospekt.de/saalburg-ebersdorf/filialen/edeka/238383,03 66 51 / 32 14
EDEKA Kadelke,Falkensteiner Str. 54,8239,Bergen,https://www.meinprospekt.de/bergen-vogtlandkreis/filialen/edeka/290546,
EDEKA,Neundorfer Str. 25,8523,Plauen,https://www.meinprospekt.de/plauen/filialen/edeka/210815,03741 394452
EDEKA,Bahnhofstr. 10,8223,Falkenstein,https://www.meinprospekt.de/falkenstein-vogtland/filialen/edeka/435227,03745 72477
EDEKA Kadelke,Paul-Popp-Str. 6a,8223,Falkenstein,https://www.meinprospekt.de/falkenstein-vogtland/filialen/edeka/210656,(03745) 7 24 77
EDEKA Kadelke,Goeltzschtalstr. 81,8209,Auerbach,https://www.meinprospekt.de/auerbach-vogtland/filialen/edeka/210564,
EDEKA,Angerstr. 39 A,8304,Schönheide,https://www.meinprospekt.de/schoenheide/filialen/edeka/210848,037755 4182
EDEKA,Geraer Str. 21 B,7907,Schleiz,https://www.meinprospekt.de/schleiz/filialen/edeka/210843,03663 4248676
EDEKA,Karlsbader Str. 1,8309,Eibenstock,https://www.meinprospekt.de/eibenstock/filialen/edeka/238395,037752 552137
EDEKA,Bergstr. 1 A,8543,Jocketa,https://www.meinprospekt.de/poehl/filialen/edeka/238387,037439 44718
EDEKA Küllig,Bahnhofstr. 8-10,9484,Kurort Oberwiesenthal,https://www.meinprospekt.de/oberwiesenthal/filialen/edeka/210800,
EDEKA,Talstr. 4c,8359,Antonsthal,https://www.meinprospekt.de/breitenbrunn-erzgebirge/filialen/edeka/238399,0 37 74 / 2 34 77
EDEKA Höfer,Zwickauer Str. 8,8485,Lengenfeld,https://www.meinprospekt.de/lengenfeld/filialen/edeka/210738,
EDEKA,Karlsbader Straße,8321,Zschorlau,https://www.meinprospekt.de/zschorlau/filialen/edeka/210911,03771 440799
EDEKA Smettana,Am Lindengarten 6,8340,Schwarzenberg /Erzgeb.,https://www.meinprospekt.de/schwarzenberg-erzgebirge/filialen/edeka/210855,
EDEKA,Annaberger Str. 28,9474,Crottendorf,https://www.meinprospekt.de/crottendorf/filialen/edeka/238396,037344 8385
